TEAM_NAME,FG3A,SEASON
Charlotte Hornets,33.9,2018-19
Chicago Bulls,25.9,2018-19
Cleveland Cavaliers,29.1,2018-19
Dallas Mavericks,36.6,2018-19
Denver Nuggets,31.4,2018-19
Detroit Pistons,34.8,2018-19
Golden State Warriors,34.4,2018-19
Houston Rockets,45.4,2018-19
Indiana Pacers,25.4,2018-19
LA Clippers,25.8,2018-19
Los Angeles Lakers,31.0,2018-19
Memphis Grizzlies,28.9,2018-19
Miami Heat,32.4,2018-19
Milwaukee Bucks,38.2,2018-19
Minnesota Timberwolves,28.7,2018-19
New Orleans Pelicans,29.9,2018-19
New York Knicks,29.5,2018-19
Oklahoma City Thunder,32.6,2018-19
Orlando Magic,32.1,2018-19
Philadelphia 76ers,30.2,2018-19
Phoenix Suns,29.3,2018-19
Portland Trail Blazers,30.7,2018-19
Sacramento Kings,29.9,2018-19
San Antonio Spurs,25.3,2018-19
Toronto Raptors,33.8,2018-19
Utah Jazz,34.0,2018-19
Washington Wizards,33.3,2018-19
Atlanta Hawks,36.1,2019-20
Boston Celtics,34.5,2019-20
Brooklyn Nets,38.1,2019-20
Charlotte Hornets,34.3,2019-20
Chicago Bulls,35.1,2019-20
Cleveland Cavaliers,31.8,2019-20
Dallas Mavericks,41.3,2019-20
Denver Nuggets,30.6,2019-20
Detroit Pistons,32.7,2019-20
Golden State Warriors,31.3,2019-20
Houston Rockets,45.3,2019-20
Indiana Pacers,28.0,2019-20
LA Clippers,33.5,2019-20
Los Angeles Lakers,31.6,2019-20
Memphis Grizzlies,31.5,2019-20
Miami Heat,35.4,2019-20
Milwaukee Bucks,38.9,2019-20
Minnesota Timberwolves,39.7,2019-20
New Orleans Pelicans,36.9,2019-20
New York Knicks,28.4,2019-20
Oklahoma City Thunder,30.2,2019-20
Orlando Magic,32.2,2019-20
Philadelphia 76ers,31.6,2019-20
Phoenix Suns,31.8,2019-20
Portland Trail Blazers,34.1,2019-20
Sacramento Kings,34.9,2019-20
San Antonio Spurs,28.5,2019-20
Toronto Raptors,37.0,2019-20
Utah Jazz,35.2,2019-20
Washington Wizards,32.6,2019-20
Atlanta Hawks,33.4,2020-21
Boston Celtics,36.4,2020-21
Brooklyn Nets,36.1,2020-21
Charlotte Hornets,37.0,2020-21
Chicago Bulls,34.0,2020-21
Cleveland Cavaliers,29.7,2020-21
Dallas Mavericks,38.1,2020-21
Denver Nuggets,34.2,2020-21
Detroit Pistons,32.9,2020-21
Golden State Warriors,38.7,2020-21
Houston Rockets,40.6,2020-21
Indiana Pacers,34.0,2020-21
LA Clippers,34.7,2020-21
Los Angeles Lakers,31.2,2020-21
Memphis Grizzlies,31.4,2020-21
Miami Heat,36.2,2020-21
Milwaukee Bucks,37.1,2020-21
Minnesota Timberwolves,37.6,2020-21
New Orleans Pelicans,30.4,2020-21
New York Knicks,30.0,2020-21
Oklahoma City Thunder,35.1,2020-21
Orlando Magic,31.8,2020-21
Philadelphia 76ers,30.1,2020-21
Phoenix Suns,34.6,2020-21
